state,weight,likely,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other
AK,416.6189,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,959.778,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
AK,528.7141,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
AK,535.6678,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
AK,756.1271,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
AK,410.3247,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AK,575.5211,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
AK,506.5241,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,580.0495,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,618.4487,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
AK,649.2161,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,517.8273,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,519.1428,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
AK,589.4412,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,789.4769,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
AK,559.2731,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,552.9571,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
AK,559.2229,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
AK,507.0904,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,569.2208,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
AK,398.5159,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
AK,964.9006,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
AK,506.5241,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,476.2262,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,604.4745,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,567.7459,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,571.8391,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,683.2503,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,412.0752,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,411.8501,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,411.8501,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,611.6615,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
AK,625.268,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
AK,578.4135,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
AK,335.4173,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
AK,565.4694,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
AK,563.2025,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,594.7185,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,590.7172,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,490.3543,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,536.6917,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,601.1035,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
AK,598.2038,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
AK,597.037,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
AK,688.8696,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AK,567.7459,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,810.4559,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
AK,546.9396,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
AK,588.7403,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
AK,490.9237,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AK,463.171,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,573.973,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
AK,504.571,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
AK,511.8928,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
AK,599.1679,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,530.1539,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AK,569.431,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,539.6453,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,519.1428,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AK,589.4412,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,570.7317,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,571.5093,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,690.1889,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
AK,918.3153,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
AK,622.4526,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
AK,439.492,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
AK,411.8501,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,411.8501,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,352.8664,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
AK,438.2852,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
AK,590.8253,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AK,565.4399,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
AK,569.431,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,434.3492,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,530.869,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
AK,417.4675,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,567.618,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AK,607.5507,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
AK,883.6114,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AK,573.7234,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,605.0296,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
AK,729.0215,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
AK,1001.4038,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
AK,529.6668,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,450.6757,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,944.8936,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
AK,439.1892,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,531.6498,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,601.1476,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,421.1227,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,575.5682,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
